OBJECTID	Field1	X	longitude	latitude	xco2	sif757	sif771	year	month	day	date
72	13174	13174	-45.10374	-26.29685	386.9377	-0.6190128	-0.4941639	2014	12	16	41989
73	13175	13175	-45.10374	-26.04789	387.3558	-0.1306003	-0.5375514	2014	12	16	41989
74	13176	13176	-45.10374	-25.79894	384.2169	1.568285	0.1480397	2014	12	16	41989
75	13177	13177	-45.10374	-24.05622	394.258	2.778322	-0.4679613	2014	12	2	41975
76	13178	13178	-45.10374	-23.80727	393.4881	0.4561557	-0.06447112	2014	12	2	41975
77	13179	13179	-45.10374	-23.55831	393.5352	0.6769766	-0.05057863	2014	12	2	41975
78	13222	13222	-44.854	-25.05206	393.6763	-2.178924	-0.04067139	2014	12	2	41975
79	13223	13223	-44.854	-24.8031	393.7454	0.1356842	-0.4894618	2014	12	2	41975
80	13224	13224	-44.854	-24.55414	393.8665	0.150476	-0.2409886	2014	12	2	41975
81	13225	13225	-44.854	-24.30518	393.7156	0.2810782	-0.2441448	2014	12	2	41975
82	13226	13226	-44.854	-24.05622	393.7727	0.1762366	-0.01203444	2014	12	2	41975
83	13227	13227	-44.854	-23.80727	393.8268	0.4085702	-0.10847	2014	12	2	41975
84	13268	13268	-44.60425	-26.29685	392.3639	0.09555015	-0.5227419	2014	12	2	41975
85	13269	13269	-44.60425	-26.04789	392.872	-0.1101383	-0.6745234	2014	12	2	41975
86	13270	13270	-44.60425	-25.79894	392.0061	-0.05685014	-0.2610901	2014	12	2	41975
87	13271	13271	-44.60425	-25.54998	390.4022	0.002925665	-1.364047	2014	12	2	41975
88	13272	13272	-44.60425	-25.30102	392.3543	0.5729571	-0.2464569	2014	12	2	41975
89	13273	13273	-44.60425	-25.05206	393.4414	-0.2553069	-0.3803207	2014	12	2	41975
90	13274	13274	-44.60425	-24.8031	393.4875	-1.767685	-0.1767788	2014	12	2	41975
91	13317	13317	-44.35451	-26.29685	392.8216	0.4298228	-0.09000919	2014	12	2	41975
92	13318	13318	-44.35451	-26.04789	392.6437	1.547909	-0.6566067	2014	12	2	41975
93	13319	13319	-44.35451	-23.30935	390.3538	-0.10808	-0.1455637	2014	12	25	41998
94	13360	13360	-44.10476	-24.8031	391.4639	-0.1486355	-0.3121039	2014	12	25	41998
95	13361	13361	-44.10476	-24.55414	392.348	0.3274408	-0.59488	2014	12	25	41998
96	13362	13362	-44.10476	-24.30518	390.2861	-0.8830946	-0.5261969	2014	12	25	41998
97	13399	13399	-43.85502	-25.30102	390.9992	1.05469	-1.611082	2014	12	25	41998
98	13400	13400	-43.85502	-25.05206	387.9493	-0.0227536	0.07015066	2014	12	25	41998
99	13401	13401	-43.85502	-24.8031	389.2924	0.02519483	-0.2282682	2014	12	25	41998
100	16833	16833	-48.35041	-26.04789	391.4125	-0.401619	-0.4488028	2015	1	15	42019
101	16834	16834	-48.35041	-25.79894	391.6836	-0.165129	-0.6912523	2015	1	15	42019
102	16879	16879	-47.60118	-24.8031	388.2597	2.673515	0.1740091	2015	1	1	42005
103	16914	16914	-47.10169	-26.79477	387.9898	0.2461057	-0.3999996	2015	1	1	42005
104	16997	16997	-46.10272	-24.8031	389.7979	0.09243639	0.8766024	2015	1	10	42014
105	16998	16998	-46.10272	-24.55414	390.174	0.5344852	0.6947795	2015	1	10	42014
