longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-32.219137775974936,-32.3437260814:-32.0945494706,20190313120000,20190313000000:20190314000000,3039.0703125,0.0:6078.140625,0.0150859,0.716217,3.98675e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.258660459138838,-20.3832487645:-20.1340721538,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.0245361,0.060262,3.83965e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.009483848371424,-20.1340721538:-19.884895543,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.0302856,-0.230214,3.97543e-4
-74.58224826388889,-74.70703125:-74.4574652778,-19.26195401606917,-19.3865423215:-19.1373657107,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.00109863,0.0317993,4.01406e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.780068579185956,-13.9046568846:-13.6554802738,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0133187,0.0697632,4.01843e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.530891968418539,-13.6554802738:-13.406303663,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.00531494,-0.00598145,3.99506e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.28171535765112,-13.406303663:-13.1571270523,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0113952,0.010537,4.01264e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.0325387468837,-13.1571270523:-12.9079504415,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.00976008,0.00484397,3.9509e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.783362136116281,-12.9079504415:-12.6587738307,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0117298,0.00954923,4.0104e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.534185525348862,-12.6587738307:-12.40959722,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.014517,0.00812237,4.01855e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.285008914581445,-12.40959722:-12.1604206092,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0126953,0.00906372,4.01868e-4
-74.58224826388889,-74.70703125:-74.4574652778,-6.055593645395978,-6.18018195078:-5.93100534001,20190326120000,20190326000000:20190327000000,3039.0703125,0.0:6078.140625,0.01474,0.00509644,4.06669e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-28.73066522523108,-28.8552535306:-28.6060769198,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.0223999,0.892578,3.93306e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-21.255366902208515,-21.3799552076:-21.1307785968,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.278198,-0.193481,3.899e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-20.75701368067368,-20.8816019861:-20.6324253753,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.0643921,0.00244141,4.01611e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-15.524304854557887,-15.6488931599:-15.3997165492,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0116893,-0.00135248,4.0072e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-15.275128243790467,-15.3997165492:-15.1505399384,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00907629,-0.00471694,4.01364e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-15.02595163302305,-15.1505399384:-14.9013633276,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00859891,0.0105262,4.0144e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-14.776775022255631,-14.9013633276:-14.6521867169,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0123848,0.00850777,3.89857e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-14.527598411488212,-14.6521867169:-14.4030101061,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0476685,0.00201416,3.80721e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-13.780068579185956,-13.9046568846:-13.6554802738,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.012531,0.00138503,3.99094e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-13.530891968418539,-13.6554802738:-13.406303663,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0135905,0.00242106,4.04253e-4
-74.33268229166666,-74.4574652778:-74.2078993056,6.154060282207535,6.02947197682:6.27864858759,20190312120000,20190312000000:20190313000000,3039.0703125,0.0:6078.140625,0.0172887,0.0102489,4.09082e-4
-74.33268229166666,-74.4574652778:-74.2078993056,6.403236892974954,6.27864858759:6.52782519836,20190312120000,20190312000000:20190313000000,3039.0703125,0.0:6078.140625,0.0171368,0.00952618,4.04797e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-21.753720123743356,-21.8783084291:-21.6291318184,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,0.0240479,0.0838013,3.99606e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-21.504543512975935,-21.6291318184:-21.3799552076,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.118774,-999999,3.9519e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-16.77018790839498,-16.8947762138:-16.645599603,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0148399,0.0243341,4.05757e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-16.52101129762756,-16.645599603:-16.3964229922,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00794123,0.0536112,4.06575e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-16.271834686860142,-16.3964229922:-16.1472463815,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0108665,0.0146013,4.07012e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-16.022658076092725,-16.1472463815:-15.8980697707,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00707109,-4.42153e-4,4.08338e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-16.022658076092725,-16.1472463815:-15.8980697707,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.00839669,0.0118059,4.07727e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-15.773481465325306,-15.8980697707:-15.6488931599,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0103107,0.0114766,4.05854e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-15.773481465325306,-15.8980697707:-15.6488931599,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0106926,0.00380516,4.04898e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-15.524304854557887,-15.6488931599:-15.3997165492,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00671577,0.01238,4.00124e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-15.524304854557887,-15.6488931599:-15.3997165492,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.00902019,-0.00244009,4.03567e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-15.275128243790467,-15.3997165492:-15.1505399384,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0107509,5.23159e-4,4.00562e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-15.275128243790467,-15.3997165492:-15.1505399384,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0128681,-0.0171797,4.04451e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-15.02595163302305,-15.1505399384:-14.9013633276,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.00788719,0.00464429,4.00555e-4
-74.08311631944444,-74.2078993056:-73.9583333333,6.154060282207535,6.02947197682:6.27864858759,20190312120000,20190312000000:20190313000000,3039.0703125,0.0:6078.140625,0.0194194,0.0133972,4.0849e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-31.7207845544401,-31.8453728598:-31.5961962491,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.052948,-0.135162,3.91887e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-31.47160794367268,-31.5961962491:-31.3470196383,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00308505,0.0154974,3.96745e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-22.750426566813026,-22.8750148722:-22.6258382614,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-999999,-0.141846,3.88308e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-18.01607096223207,-18.1406592676:-17.8914826568,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0133171,-0.164821,4.04334e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-17.766894351464657,-17.8914826568:-17.6423060461,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,2.67807e-4,-0.00291674,4.05583e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-17.517717740697236,-17.6423060461:-17.3931294353,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0175015,0.00656813,4.04638e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-16.77018790839498,-16.8947762138:-16.645599603,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0119672,-0.00223223,4.06009e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-16.77018790839498,-16.8947762138:-16.645599603,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,-0.0126343,0.00686035,3.98577e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-16.52101129762756,-16.645599603:-16.3964229922,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00327148,0.013431,4.06846e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-16.022658076092725,-16.1472463815:-15.8980697707,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.00298055,0.00577037,4.0467e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-15.773481465325306,-15.8980697707:-15.6488931599,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,9.44439e-4,0.0212141,4.03049e-4
-73.583984375,-73.7087673611:-73.4592013889,-32.96666760827719,-33.0912559137:-32.8420793029,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.0125427,0.0117188,3.95669e-4
-73.583984375,-73.7087673611:-73.4592013889,-32.71749099750977,-32.8420793029:-32.5929026921,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00656467,0.00683158,3.97757e-4
-73.583984375,-73.7087673611:-73.4592013889,-32.46831438674236,-32.5929026921:-32.3437260814,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,-0.0292786,-0.0161156,3.99056e-4
-73.583984375,-73.7087673611:-73.4592013889,-32.219137775974936,-32.3437260814:-32.0945494706,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.0136357,0.00225067,3.97685e-4
-73.583984375,-73.7087673611:-73.4592013889,-31.969961165207515,-32.0945494706:-31.8453728598,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00958252,-0.0150757,3.96348e-4
-73.583984375,-73.7087673611:-73.4592013889,-31.7207845544401,-31.8453728598:-31.5961962491,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.0126343,-6.30697e-4,3.96975e-4
-73.583984375,-73.7087673611:-73.4592013889,-18.763600794534327,-18.8881890999:-18.6390124892,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0100201,0.00795458,4.04468e-4
-73.583984375,-73.7087673611:-73.4592013889,-18.514424183766913,-18.6390124892:-18.3898358784,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00951675,0.00850044,4.05062e-4
-73.583984375,-73.7087673611:-73.4592013889,-18.265247572999492,-18.3898358784:-18.1406592676,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0017551,0.00265967,4.05827e-4
-73.583984375,-73.7087673611:-73.4592013889,-18.01607096223207,-18.1406592676:-17.8914826568,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,7.66426e-4,-0.00902254,4.05048e-4
-73.583984375,-73.7087673611:-73.4592013889,-17.766894351464657,-17.8914826568:-17.6423060461,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00214554,-0.00273507,4.04427e-4
-73.583984375,-73.7087673611:-73.4592013889,-17.517717740697236,-17.6423060461:-17.3931294353,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00949707,-0.00189209,4.05328e-4
-73.583984375,-73.7087673611:-73.4592013889,-17.268541129929815,-17.3931294353:-17.1439528245,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.0225067,0.342354,3.89589e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-33.71419744057945,-33.838785746:-33.5896091352,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.0156112,-0.0463612,3.9973e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-33.46502082981203,-33.5896091352:-33.3404325244,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00684025,-0.00416441,3.97981e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-33.21584421904461,-33.3404325244:-33.0912559137,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00149629,-0.0102948,3.98109e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-32.96666760827719,-33.0912559137:-32.8420793029,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00247888,-7.54395e-4,3.98476e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-32.71749099750977,-32.8420793029:-32.5929026921,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,-0.0123508,2.4969e-4,3.98923e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-32.46831438674236,-32.5929026921:-32.3437260814,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.0210978,0.00723267,3.96119e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-25.491369285254635,-25.6159575906:-25.3667809799,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,0.271637,-999999,3.91286e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-25.242192674487214,-25.3667809799:-25.1176043691,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,0.020752,-0.0219116,3.89747e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-24.74383945295238,-24.8684277583:-24.6192511476,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.032547,0.277303,3.85149e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-19.26195401606917,-19.3865423215:-19.1373657107,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.021977,-0.00345866,4.04156e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-19.012777405301748,-19.1373657107:-18.8881890999,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0139618,-0.00564575,4.03041e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-18.265247572999492,-18.3898358784:-18.1406592676,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,-999999,0.00634766,3.95213e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-33.71419744057945,-33.838785746:-33.5896091352,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00972106,-0.00196988,4.001e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-33.46502082981203,-33.5896091352:-33.3404325244,20190315120000,20190315000000:20190316000000,3039.0703125,0.0:6078.140625,0.00656564,0.00712077,3.99476e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-25.98972250678947,-26.1143108122:-25.8651342014,20190331120000,20190331000000:20190401000000,3039.0703125,0.0:6078.140625,-0.160217,-999999,3.83972e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-21.504543512975935,-21.6291318184:-21.3799552076,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0149536,-0.00500488,4.06206e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-21.255366902208515,-21.3799552076:-21.1307785968,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0138364,0.0253247,4.05809e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-21.006190291441097,-21.1307785968:-20.8816019861,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00448168,0.0167821,4.05569e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-20.75701368067368,-20.8816019861:-20.6324253753,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,-0.00558268,-8.57544e-4,4.04851e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-20.50783706990626,-20.6324253753:-20.3832487645,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,8.63134e-6,0.0420001,4.04258e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-19.012777405301748,-19.1373657107:-18.8881890999,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,0.043335,-999999,3.88052e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-22.501249956045612,-22.6258382614:-22.3766616507,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,-0.0279948,-0.00494385,4.00491e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-22.25207334527819,-22.3766616507:-22.1274850399,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00736517,-0.0051325,4.04197e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-22.00289673451077,-22.1274850399:-21.8783084291,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00983559,0.00428185,4.02347e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-21.753720123743356,-21.8783084291:-21.6291318184,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00517898,0.19512,4.05396e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-21.504543512975935,-21.6291318184:-21.3799552076,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0019832,-0.00340408,4.05314e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-21.255366902208515,-21.3799552076:-21.1307785968,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.00834644,-0.00416456,4.05693e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-21.006190291441097,-21.1307785968:-20.8816019861,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0065033,0.00125732,4.05323e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-20.258660459138838,-20.3832487645:-20.1340721538,20190324120000,20190324000000:20190325000000,3039.0703125,0.0:6078.140625,-999999,-999999,3.7891e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-15.275128243790467,-15.3997165492:-15.1505399384,20190326120000,20190326000000:20190327000000,3039.0703125,0.0:6078.140625,-6.06537e-4,0.0159073,4.01529e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-15.02595163302305,-15.1505399384:-14.9013633276,20190326120000,20190326000000:20190327000000,3039.0703125,0.0:6078.140625,0.0291931,0.00158691,3.943e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-14.776775022255631,-14.9013633276:-14.6521867169,20190326120000,20190326000000:20190327000000,3039.0703125,0.0:6078.140625,0.0109646,0.00496971,3.96483e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-14.527598411488212,-14.6521867169:-14.4030101061,20190317120000,20190317000000:20190318000000,3039.0703125,0.0:6078.140625,-0.00181417,0.00533733,4.02536e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-14.527598411488212,-14.6521867169:-14.4030101061,20190326120000,20190326000000:20190327000000,3039.0703125,0.0:6078.140625,0.0177675,0.0137006,4.00976e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-14.278421800720794,-14.4030101061:-14.1538334953,20190317120000,20190317000000:20190318000000,3039.0703125,0.0:6078.140625,-0.00340925,0.00276402,4.0376e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-14.029245189953375,-14.1538334953:-13.9046568846,20190317120000,20190317000000:20190318000000,3039.0703125,0.0:6078.140625,-0.00658308,0.00530657,3.97548e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-13.780068579185956,-13.9046568846:-13.6554802738,20190317120000,20190317000000:20190318000000,3039.0703125,0.0:6078.140625,0.0174536,-0.00546631,4.00085e-4
-72.58572048611111,-72.7105034722:-72.4609375,-23.49795639911528,-23.6225447045:-23.3733680937,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0155334,-0.00384521,4.02659e-4
-72.58572048611111,-72.7105034722:-72.4609375,-23.248779788347868,-23.3733680937:-23.124191483,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0192057,-0.0128988,4.0194e-4
-72.58572048611111,-72.7105034722:-72.4609375,-22.501249956045612,-22.6258382614:-22.3766616507,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,5.32151e-4,-0.0675834,4.03208e-4
-72.58572048611111,-72.7105034722:-72.4609375,-22.25207334527819,-22.3766616507:-22.1274850399,20190301120000,20190301000000:20190302000000,3039.0703125,0.0:6078.140625,0.0349557,0.0159874,4.03869e-4
-72.58572048611111,-72.7105034722:-72.4609375,-16.77018790839498,-16.8947762138:-16.645599603,20190326120000,20190326000000:20190327000000,3039.0703125,0.0:6078.140625,0.0149048,-0.0019165,3.90227e-4
-72.58572048611111,-72.7105034722:-72.4609375,-16.52101129762756,-16.645599603:-16.3964229922,20190326120000,20190326000000:20190327000000,3039.0703125,0.0:6078.140625,0.00480513,-5.3267e-4,4.06282e-4
-72.58572048611111,-72.7105034722:-72.4609375,-15.773481465325306,-15.8980697707:-15.6488931599,20190317120000,20190317000000:20190318000000,3039.0703125,0.0:6078.140625,0.0138499,0.00960795,4.09508e-4
-72.58572048611111,-72.7105034722:-72.4609375,-15.524304854557887,-15.6488931599:-15.3997165492,20190317120000,20190317000000:20190318000000,3039.0703125,0.0:6078.140625,-0.00414854,-2.79018e-5,3.95064e-4
