longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-31.22243133290526,-31.3470196383:-31.0978430275,20161101120000,20161101000000:20161102000000,3120.8974609375,0.0:6241.79492188,0.0132795,-0.0114572,3.99106e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.973254722137845,-31.0978430275:-30.8486664168,20161101120000,20161101000000:20161102000000,3120.8974609375,0.0:6241.79492188,0.00538873,-0.0441589,3.99488e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.724078111370424,-30.8486664168:-30.599489806,20161101120000,20161101000000:20161102000000,3120.8974609375,0.0:6241.79492188,0.00990321,-0.00370773,3.99454e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.474901500603004,-30.599489806:-30.3503131952,20161101120000,20161101000000:20161102000000,3120.8974609375,0.0:6241.79492188,0.0085144,0.00717222,3.99376e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.22572488983559,-30.3503131952:-30.1011365845,20161101120000,20161101000000:20161102000000,3120.8974609375,0.0:6241.79492188,-0.0019299,-0.00836441,3.99336e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.97654827906817,-30.1011365845:-29.8519599737,20161101120000,20161101000000:20161102000000,3120.8974609375,0.0:6241.79492188,-0.0164461,-0.0161584,3.99214e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.727371668300748,-29.8519599737:-29.6027833629,20161101120000,20161101000000:20161102000000,3120.8974609375,0.0:6241.79492188,0.00395813,-0.00742475,3.99103e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.996309620650123,-24.120897926:-23.8717213153,20161126120000,20161126000000:20161127000000,3120.8974609375,0.0:6241.79492188,-0.00842285,-0.0421116,3.98576e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.747133009882702,-23.8717213153:-23.6225447045,20161126120000,20161126000000:20161127000000,3120.8974609375,0.0:6241.79492188,0.00607954,-0.00602068,3.98614e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.49795639911528,-23.6225447045:-23.3733680937,20161126120000,20161126000000:20161127000000,3120.8974609375,0.0:6241.79492188,0.00273191,-0.00877808,3.99342e-4
-74.58224826388889,-74.70703125:-74.4574652778,-23.248779788347868,-23.3733680937:-23.124191483,20161126120000,20161126000000:20161127000000,3120.8974609375,0.0:6241.79492188,-5.47589e-4,0.0174504,3.99107e-4
-74.58224826388889,-74.70703125:-74.4574652778,-22.999603177580447,-23.124191483:-22.8750148722,20161126120000,20161126000000:20161127000000,3120.8974609375,0.0:6241.79492188,0.00152876,-0.0322103,3.99641e-4
-74.58224826388889,-74.70703125:-74.4574652778,-22.750426566813026,-22.8750148722:-22.6258382614,20161126120000,20161126000000:20161127000000,3120.8974609375,0.0:6241.79492188,1.52608e-6,-0.00609131,3.99599e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.258660459138838,-20.3832487645:-20.1340721538,20161117120000,20161117000000:20161118000000,3120.8974609375,0.0:6241.79492188,-0.00628385,0.00606155,3.92412e-4
