longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-32.71749099750977,-32.8420793029:-32.5929026921,20150403120000,20150403000000:20150404000000,3056.3515625,0.0:6112.703125,0.0108032,0.983676,3.86132e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.46831438674236,-32.5929026921:-32.3437260814,20150403120000,20150403000000:20150404000000,3056.3515625,0.0:6112.703125,0.0199585,0.0280151,3.93638e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.006190291441097,-21.1307785968:-20.8816019861,20150414120000,20150414000000:20150415000000,3056.3515625,0.0:6112.703125,0.00714111,-6.10352e-5,3.83107e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.75701368067368,-20.8816019861:-20.6324253753,20150414120000,20150414000000:20150415000000,3056.3515625,0.0:6112.703125,-0.0012207,0.00527954,3.89854e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.776775022255631,-14.9013633276:-14.6521867169,20150407120000,20150407000000:20150408000000,3056.3515625,0.0:6112.703125,0.0137939,0.242664,3.79645e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.527598411488212,-14.6521867169:-14.4030101061,20150407120000,20150407000000:20150408000000,3056.3515625,0.0:6112.703125,0.00929857,0.00901993,3.87358e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.278421800720794,-14.4030101061:-14.1538334953,20150407120000,20150407000000:20150408000000,3056.3515625,0.0:6112.703125,0.0221533,0.0074939,3.88254e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.029245189953375,-14.1538334953:-13.9046568846,20150407120000,20150407000000:20150408000000,3056.3515625,0.0:6112.703125,0.0173743,0.00777219,3.89663e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.780068579185956,-13.9046568846:-13.6554802738,20150407120000,20150407000000:20150408000000,3056.3515625,0.0:6112.703125,0.017753,0.00806028,3.8941e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.530891968418539,-13.6554802738:-13.406303663,20150407120000,20150407000000:20150408000000,3056.3515625,0.0:6112.703125,0.0133134,0.00630057,3.89455e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.28171535765112,-13.406303663:-13.1571270523,20150407120000,20150407000000:20150408000000,3056.3515625,0.0:6112.703125,0.0108337,-0.0132294,3.89489e-4
-74.58224826388889,-74.70703125:-74.4574652778,-7.052300088465653,-7.17688839385:-6.92771178308,20150416120000,20150416000000:20150417000000,3056.3515625,0.0:6112.703125,0.0258179,0.0183716,3.9709e-4
-74.58224826388889,-74.70703125:-74.4574652778,-6.803123477698234,-6.92771178308:-6.67853517231,20150416120000,20150416000000:20150417000000,3056.3515625,0.0:6112.703125,0.00732422,0.0131226,3.96273e-4
-74.58224826388889,-74.70703125:-74.4574652778,0.17382162378948607,0.0492333184058:0.298409929173,20150409120000,20150409000000:20150410000000,3056.3515625,0.0:6112.703125,0.0224121,0.0137817,3.98396e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-33.46502082981203,-33.5896091352:-33.3404325244,20150403120000,20150403000000:20150404000000,3056.3515625,0.0:6112.703125,0.074707,0.0115967,3.81502e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-33.21584421904461,-33.3404325244:-33.0912559137,20150403120000,20150403000000:20150404000000,3056.3515625,0.0:6112.703125,0.0218811,-0.00137329,3.77448e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-32.96666760827719,-33.0912559137:-32.8420793029,20150403120000,20150403000000:20150404000000,3056.3515625,0.0:6112.703125,0.0412903,0.0679321,3.7845e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-30.474901500603004,-30.599489806:-30.3503131952,20150405120000,20150405000000:20150406000000,3056.3515625,0.0:6112.703125,0.0161934,-0.0049324,3.9456e-4
