longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-33.71419744057945,-33.838785746:-33.5896091352,20170111120000,20170111000000:20170112000000,3179.482421875,0.0:6358.96484375,0.00271852,-0.0138922,3.98958e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.979841835998492,-29.1044301414:-28.8552535306,20170104120000,20170104000000:20170105000000,3179.482421875,0.0:6358.96484375,0.00983047,0.0135117,4.00881e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.73066522523108,-28.8552535306:-28.6060769198,20170104120000,20170104000000:20170105000000,3179.482421875,0.0:6358.96484375,-0.00748291,0.025016,4.00323e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.481488614463657,-28.6060769198:-28.3569003091,20170104120000,20170104000000:20170105000000,3179.482421875,0.0:6358.96484375,0.0274325,-0.0370755,4.00913e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.232312003696237,-28.3569003091:-28.1077236983,20170104120000,20170104000000:20170105000000,3179.482421875,0.0:6358.96484375,0.00134277,-0.0105591,3.99728e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.983135392928823,-28.1077236983:-27.8585470875,20170104120000,20170104000000:20170105000000,3179.482421875,0.0:6358.96484375,-0.131897,-0.0158691,4.01466e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.488075728324304,-26.6126640337:-26.3634874229,20170127120000,20170127000000:20170128000000,3179.482421875,0.0:6358.96484375,0.00754801,0.00653076,4.00677e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.23889911755689,-26.3634874229:-26.1143108122,20170127120000,20170127000000:20170128000000,3179.482421875,0.0:6358.96484375,0.0181274,-999999,3.99739e-4
-74.58224826388889,-74.70703125:-74.4574652778,-25.491369285254635,-25.6159575906:-25.3667809799,20170127120000,20170127000000:20170128000000,3179.482421875,0.0:6358.96484375,-0.00751604,-0.236668,4.01375e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.504543512975935,-21.6291318184:-21.3799552076,20170129120000,20170129000000:20170130000000,3179.482421875,0.0:6358.96484375,-0.00503976,0.179967,4.01253e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.255366902208515,-21.3799552076:-21.1307785968,20170129120000,20170129000000:20170130000000,3179.482421875,0.0:6358.96484375,0.00340604,-0.00206489,4.00313e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.006190291441097,-21.1307785968:-20.8816019861,20170129120000,20170129000000:20170130000000,3179.482421875,0.0:6358.96484375,-0.00812214,0.0214852,3.98996e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.75701368067368,-20.8816019861:-20.6324253753,20170129120000,20170129000000:20170130000000,3179.482421875,0.0:6358.96484375,5.13077e-4,0.0141017,3.99562e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.50783706990626,-20.6324253753:-20.3832487645,20170129120000,20170129000000:20170130000000,3179.482421875,0.0:6358.96484375,0.00883702,0.00258305,3.98233e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.258660459138838,-20.3832487645:-20.1340721538,20170120120000,20170120000000:20170121000000,3179.482421875,0.0:6358.96484375,-0.046548,0.101279,3.99544e-4
