longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-29.229018446765913,-29.3536067521:-29.1044301414,20190518120000,20190518000000:20190519000000,3135.023681640625,0.0:6270.04736328,0.020556,0.0153584,4.02695e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.979841835998492,-29.1044301414:-28.8552535306,20190518120000,20190518000000:20190519000000,3135.023681640625,0.0:6270.04736328,9.42296e-4,0.0363295,4.02228e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.73066522523108,-28.8552535306:-28.6060769198,20190518120000,20190518000000:20190519000000,3135.023681640625,0.0:6270.04736328,0.00261603,-0.00578733,4.03568e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.481488614463657,-28.6060769198:-28.3569003091,20190518120000,20190518000000:20190519000000,3135.023681640625,0.0:6270.04736328,-0.0144296,-0.00248549,4.02494e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.232312003696237,-28.3569003091:-28.1077236983,20190518120000,20190518000000:20190519000000,3135.023681640625,0.0:6270.04736328,-0.0035997,0.0120425,4.03332e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.983135392928823,-28.1077236983:-27.8585470875,20190518120000,20190518000000:20190519000000,3135.023681640625,0.0:6270.04736328,5.8681e-4,0.0191326,4.03915e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.7339587821614,-27.8585470875:-27.6093704768,20190518120000,20190518000000:20190519000000,3135.023681640625,0.0:6270.04736328,-0.00496483,-2.50565e-4,4.04015e-4
-74.58224826388889,-74.70703125:-74.4574652778,-22.00289673451077,-22.1274850399:-21.8783084291,20190511120000,20190511000000:20190512000000,3135.023681640625,0.0:6270.04736328,0.0453491,-0.00323486,3.98292e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.753720123743356,-21.8783084291:-21.6291318184,20190511120000,20190511000000:20190512000000,3135.023681640625,0.0:6270.04736328,-0.0559692,-999999,3.99066e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.504543512975935,-21.6291318184:-21.3799552076,20190511120000,20190511000000:20190512000000,3135.023681640625,0.0:6270.04736328,-0.0121155,0.0149536,4.00218e-4
