longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-31.7207845544401,-31.8453728598:-31.5961962491,20160928120000,20160928000000:20160929000000,3086.9169921875,0.0:6173.83398438,-0.0416328,7.49068e-4,3.91111e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.22572488983559,-30.3503131952:-30.1011365845,20160930120000,20160930000000:20161001000000,3086.9169921875,0.0:6173.83398438,0.0594063,0.00542761,3.99191e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.97654827906817,-30.1011365845:-29.8519599737,20160930120000,20160930000000:20161001000000,3086.9169921875,0.0:6173.83398438,0.00570151,-0.00143598,3.99269e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.727371668300748,-29.8519599737:-29.6027833629,20160930120000,20160930000000:20161001000000,3086.9169921875,0.0:6173.83398438,0.00907172,0.0139382,3.98624e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.478195057533334,-29.6027833629:-29.3536067521,20160930120000,20160930000000:20161001000000,3086.9169921875,0.0:6173.83398438,0.00990001,-0.00800269,3.98572e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.229018446765913,-29.3536067521:-29.1044301414,20160930120000,20160930000000:20161001000000,3086.9169921875,0.0:6173.83398438,-0.00106308,0.00836182,3.98304e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.979841835998492,-29.1044301414:-28.8552535306,20160930120000,20160930000000:20161001000000,3086.9169921875,0.0:6173.83398438,-0.00912475,-0.00344344,3.97558e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.73066522523108,-28.8552535306:-28.6060769198,20160930120000,20160930000000:20161001000000,3086.9169921875,0.0:6173.83398438,0.00399054,0.0180115,3.95983e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.488075728324304,-26.6126640337:-26.3634874229,20160921120000,20160921000000:20160922000000,3086.9169921875,0.0:6173.83398438,0.0189209,-0.0267944,3.87712e-4
-74.58224826388889,-74.70703125:-74.4574652778,-19.511130626836582,-19.6357189322:-19.3865423215,20160914120000,20160914000000:20160915000000,3086.9169921875,0.0:6173.83398438,0.026001,-999999,3.8177e-4
