longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-33.71419744057945,-33.838785746:-33.5896091352,20150207120000,20150207000000:20150208000000,3095.85009765625,0.0:6191.70019531,0.00224261,-0.00156921,3.93608e-4
-74.58224826388889,-74.70703125:-74.4574652778,-33.46502082981203,-33.5896091352:-33.3404325244,20150207120000,20150207000000:20150208000000,3095.85009765625,0.0:6191.70019531,0.00465596,-0.0110285,3.92595e-4
-74.58224826388889,-74.70703125:-74.4574652778,-33.21584421904461,-33.3404325244:-33.0912559137,20150207120000,20150207000000:20150208000000,3095.85009765625,0.0:6191.70019531,0.00524902,-0.00332642,3.9334e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.504543512975935,-21.6291318184:-21.3799552076,20150209120000,20150209000000:20150210000000,3095.85009765625,0.0:6191.70019531,0.00733778,0.0106359,3.94855e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.255366902208515,-21.3799552076:-21.1307785968,20150209120000,20150209000000:20150210000000,3095.85009765625,0.0:6191.70019531,0.0109424,0.009473,3.94273e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.50783706990626,-20.6324253753:-20.3832487645,20150209120000,20150209000000:20150210000000,3095.85009765625,0.0:6191.70019531,0.0109253,0.00518799,3.9358e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.258660459138838,-20.3832487645:-20.1340721538,20150209120000,20150209000000:20150210000000,3095.85009765625,0.0:6191.70019531,0.0118713,0.00885773,3.93605e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.278421800720794,-14.4030101061:-14.1538334953,20150202120000,20150202000000:20150203000000,3095.85009765625,0.0:6191.70019531,0.0081718,0.0051235,3.89812e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.029245189953375,-14.1538334953:-13.9046568846,20150202120000,20150202000000:20150203000000,3095.85009765625,0.0:6191.70019531,0.00899148,0.00456218,3.88574e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.780068579185956,-13.9046568846:-13.6554802738,20150202120000,20150202000000:20150203000000,3095.85009765625,0.0:6191.70019531,0.0216021,0.00512695,3.86179e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.780068579185956,-13.9046568846:-13.6554802738,20150225120000,20150225000000:20150226000000,3095.85009765625,0.0:6191.70019531,0.00912426,0.0154324,3.9154e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.530891968418539,-13.6554802738:-13.406303663,20150202120000,20150202000000:20150203000000,3095.85009765625,0.0:6191.70019531,0.0119925,0.0384818,3.86423e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.530891968418539,-13.6554802738:-13.406303663,20150225120000,20150225000000:20150226000000,3095.85009765625,0.0:6191.70019531,0.0110652,0.0208393,3.89381e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.28171535765112,-13.406303663:-13.1571270523,20150202120000,20150202000000:20150203000000,3095.85009765625,0.0:6191.70019531,0.0114034,0.00822957,3.85741e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.28171535765112,-13.406303663:-13.1571270523,20150225120000,20150225000000:20150226000000,3095.85009765625,0.0:6191.70019531,0.00952149,0.00498047,3.85089e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.0325387468837,-13.1571270523:-12.9079504415,20150202120000,20150202000000:20150203000000,3095.85009765625,0.0:6191.70019531,0.00887827,0.00767634,3.88998e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.0325387468837,-13.1571270523:-12.9079504415,20150225120000,20150225000000:20150226000000,3095.85009765625,0.0:6191.70019531,0.0118689,0.00684089,3.89972e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.983135392928823,-28.1077236983:-27.8585470875,20150223120000,20150223000000:20150224000000,3095.85009765625,0.0:6191.70019531,0.0100708,0.00622559,3.90282e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.7339587821614,-27.8585470875:-27.6093704768,20150223120000,20150223000000:20150224000000,3095.85009765625,0.0:6191.70019531,-0.00382487,-0.0111084,3.84868e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.48478217139398,-27.6093704768:-27.360193866,20150223120000,20150223000000:20150224000000,3095.85009765625,0.0:6191.70019531,-999999,-0.0200806,3.8585e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-22.25207334527819,-22.3766616507:-22.1274850399,20150209120000,20150209000000:20150210000000,3095.85009765625,0.0:6191.70019531,0.0128636,0.580128,3.94449e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-22.00289673451077,-22.1274850399:-21.8783084291,20150209120000,20150209000000:20150210000000,3095.85009765625,0.0:6191.70019531,0.00463486,0.020993,3.94368e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-21.753720123743356,-21.8783084291:-21.6291318184,20150209120000,20150209000000:20150210000000,3095.85009765625,0.0:6191.70019531,0.00374219,0.152686,3.93482e-4
