longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-29.229018446765913,-29.3536067521:-29.1044301414,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,-5.42539e-5,-0.0875854,4.05223e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.979841835998492,-29.1044301414:-28.8552535306,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,-0.00190735,-9.76562e-4,4.03764e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.73066522523108,-28.8552535306:-28.6060769198,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,0.0115017,-0.0595529,4.05156e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.481488614463657,-28.6060769198:-28.3569003091,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,-2.04647e-4,0.0106847,4.0371e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.232312003696237,-28.3569003091:-28.1077236983,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,0.0171373,0.021862,4.05033e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.983135392928823,-28.1077236983:-27.8585470875,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,0.0195282,-0.0128554,4.06049e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.7339587821614,-27.8585470875:-27.6093704768,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,0.00116839,0.0161472,4.0351e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.48478217139398,-27.6093704768:-27.360193866,20200504120000,20200504000000:20200505000000,3020.353271484375,0.0:6040.70654297,1.2207e-4,-999999,4.05385e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.255366902208515,-21.3799552076:-21.1307785968,20200529120000,20200529000000:20200530000000,3020.353271484375,0.0:6040.70654297,0.0135295,-0.0119324,4.11257e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.006190291441097,-21.1307785968:-20.8816019861,20200529120000,20200529000000:20200530000000,3020.353271484375,0.0:6040.70654297,0.00810672,0.0584818,4.09293e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.75701368067368,-20.8816019861:-20.6324253753,20200529120000,20200529000000:20200530000000,3020.353271484375,0.0:6040.70654297,0.0136457,-0.00389753,4.10229e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.50783706990626,-20.6324253753:-20.3832487645,20200529120000,20200529000000:20200530000000,3020.353271484375,0.0:6040.70654297,0.00219241,0.0079834,4.09885e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.258660459138838,-20.3832487645:-20.1340721538,20200529120000,20200529000000:20200530000000,3020.353271484375,0.0:6040.70654297,0.0128983,0.00205798,4.08524e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.530891968418539,-13.6554802738:-13.406303663,20200513120000,20200513000000:20200514000000,3020.353271484375,0.0:6040.70654297,0.0151645,0.329876,4.09165e-4
