longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-33.71419744057945,-33.838785746:-33.5896091352,20150311120000,20150311000000:20150312000000,3275.1005859375,0.0:6550.20117188,-0.0026498,0.0185319,3.94873e-4
-74.58224826388889,-74.70703125:-74.4574652778,-33.46502082981203,-33.5896091352:-33.3404325244,20150311120000,20150311000000:20150312000000,3275.1005859375,0.0:6550.20117188,0.0175171,-999999,3.9473e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.96666760827719,-33.0912559137:-32.8420793029,20150302120000,20150302000000:20150303000000,3275.1005859375,0.0:6550.20117188,0.00500488,0.00280762,3.85203e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.46831438674236,-32.5929026921:-32.3437260814,20150302120000,20150302000000:20150303000000,3275.1005859375,0.0:6550.20117188,0.017112,0.0180442,3.79197e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.219137775974936,-32.3437260814:-32.0945494706,20150302120000,20150302000000:20150303000000,3275.1005859375,0.0:6550.20117188,0.0238838,-0.390653,3.84694e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.232312003696237,-28.3569003091:-28.1077236983,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,-0.0028668,0.0147625,3.91077e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.983135392928823,-28.1077236983:-27.8585470875,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,-0.00189953,-1.25248e-4,3.92638e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.7339587821614,-27.8585470875:-27.6093704768,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,0.0141584,-0.0302022,3.86899e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.48478217139398,-27.6093704768:-27.360193866,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,8.08085e-4,0.00229685,3.91482e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.235605560626563,-27.360193866:-27.1110172552,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,-0.00406823,0.0270087,3.92358e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.986428949859146,-27.1110172552:-26.8618406445,20150327120000,20150327000000:20150328000000,3275.1005859375,0.0:6550.20117188,0.0714925,-0.114624,3.88227e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.255366902208515,-21.3799552076:-21.1307785968,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.00262451,2.65682e-4,3.94787e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.006190291441097,-21.1307785968:-20.8816019861,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.00871607,0.00766835,3.9444e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.75701368067368,-20.8816019861:-20.6324253753,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.00527001,5.49316e-4,3.94423e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.50783706990626,-20.6324253753:-20.3832487645,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.0113584,0.00232956,3.94209e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.258660459138838,-20.3832487645:-20.1340721538,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.00638835,-0.00155301,3.92796e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.780068579185956,-13.9046568846:-13.6554802738,20150329120000,20150329000000:20150330000000,3275.1005859375,0.0:6550.20117188,0.00619507,0.00401306,3.94926e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.530891968418539,-13.6554802738:-13.406303663,20150329120000,20150329000000:20150330000000,3275.1005859375,0.0:6550.20117188,0.00509251,0.0114555,3.90257e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.28171535765112,-13.406303663:-13.1571270523,20150329120000,20150329000000:20150330000000,3275.1005859375,0.0:6550.20117188,0.00766843,0.010926,3.88999e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.0325387468837,-13.1571270523:-12.9079504415,20150329120000,20150329000000:20150330000000,3275.1005859375,0.0:6550.20117188,0.0118943,0.00833392,3.8827e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.783362136116281,-12.9079504415:-12.6587738307,20150329120000,20150329000000:20150330000000,3275.1005859375,0.0:6550.20117188,0.00935335,0.0106927,3.89146e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.534185525348862,-12.6587738307:-12.40959722,20150329120000,20150329000000:20150330000000,3275.1005859375,0.0:6550.20117188,0.0161461,0.0104957,3.89255e-4
-74.58224826388889,-74.70703125:-74.4574652778,0.6721748453243244,0.547586539941:0.796763150708,20150331120000,20150331000000:20150401000000,3275.1005859375,0.0:6550.20117188,0.0147705,0.017395,3.96915e-4
-74.58224826388889,-74.70703125:-74.4574652778,0.9213514560917417,0.796763150708:1.04593976148,20150331120000,20150331000000:20150401000000,3275.1005859375,0.0:6550.20117188,0.0176239,0.0163956,3.97968e-4
-74.58224826388889,-74.70703125:-74.4574652778,1.1705280668591627,1.04593976148:1.29511637224,20150308120000,20150308000000:20150309000000,3275.1005859375,0.0:6550.20117188,0.0168021,0.0116316,3.94504e-4
-74.58224826388889,-74.70703125:-74.4574652778,1.1705280668591627,1.04593976148:1.29511637224,20150331120000,20150331000000:20150401000000,3275.1005859375,0.0:6550.20117188,0.0193685,0.0163574,3.98518e-4
-74.58224826388889,-74.70703125:-74.4574652778,1.4197046776265836,1.29511637224:1.54429298301,20150308120000,20150308000000:20150309000000,3275.1005859375,0.0:6550.20117188,0.0183716,0.012085,3.923e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-33.71419744057945,-33.838785746:-33.5896091352,20150302120000,20150302000000:20150303000000,3275.1005859375,0.0:6550.20117188,-0.0995483,-0.0203247,3.76621e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-33.46502082981203,-33.5896091352:-33.3404325244,20150302120000,20150302000000:20150303000000,3275.1005859375,0.0:6550.20117188,-0.0519165,-0.757335,3.85202e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-33.21584421904461,-33.3404325244:-33.0912559137,20150302120000,20150302000000:20150303000000,3275.1005859375,0.0:6550.20117188,-0.072828,0.0388503,3.84748e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-32.96666760827719,-33.0912559137:-32.8420793029,20150302120000,20150302000000:20150303000000,3275.1005859375,0.0:6550.20117188,0.0256629,-0.035305,3.85428e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-29.478195057533334,-29.6027833629:-29.3536067521,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,0.00184501,-3.37601e-4,3.93081e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-29.229018446765913,-29.3536067521:-29.1044301414,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,0.0049192,-0.0326191,3.91322e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-28.979841835998492,-29.1044301414:-28.8552535306,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,0.00300293,-6.10352e-5,3.83193e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-28.73066522523108,-28.8552535306:-28.6060769198,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,6.71387e-4,0.00674438,3.8213e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-28.481488614463657,-28.6060769198:-28.3569003091,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,0.0199822,-0.0032959,3.86923e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-28.232312003696237,-28.3569003091:-28.1077236983,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,-0.0031877,0.00188219,3.89176e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.983135392928823,-28.1077236983:-27.8585470875,20150304120000,20150304000000:20150305000000,3275.1005859375,0.0:6550.20117188,-0.0186523,-999999,3.93818e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.983135392928823,-28.1077236983:-27.8585470875,20150327120000,20150327000000:20150328000000,3275.1005859375,0.0:6550.20117188,-0.00344849,-0.110657,3.86829e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.48478217139398,-27.6093704768:-27.360193866,20150327120000,20150327000000:20150328000000,3275.1005859375,0.0:6550.20117188,0.0106201,0.0111694,3.85329e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.235605560626563,-27.360193866:-27.1110172552,20150327120000,20150327000000:20150328000000,3275.1005859375,0.0:6550.20117188,-0.0403137,0.00837402,3.86707e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-26.986428949859146,-27.1110172552:-26.8618406445,20150327120000,20150327000000:20150328000000,3275.1005859375,0.0:6550.20117188,0.0125732,0.00531006,3.86449e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-22.501249956045612,-22.6258382614:-22.3766616507,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.0246129,0.0816611,3.94104e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-22.25207334527819,-22.3766616507:-22.1274850399,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.00755018,0.0786634,3.95121e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-22.00289673451077,-22.1274850399:-21.8783084291,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.0113219,-0.00378418,3.95137e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-21.753720123743356,-21.8783084291:-21.6291318184,20150313120000,20150313000000:20150314000000,3275.1005859375,0.0:6550.20117188,0.0111306,0.0116019,3.93369e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-15.524304854557887,-15.6488931599:-15.3997165492,20150306120000,20150306000000:20150307000000,3275.1005859375,0.0:6550.20117188,0.00991037,-0.00372838,3.88634e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-15.275128243790467,-15.3997165492:-15.1505399384,20150306120000,20150306000000:20150307000000,3275.1005859375,0.0:6550.20117188,0.0135695,-1.36155e-4,3.87426e-4
