longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-32.71749099750977,-32.8420793029:-32.5929026921,20141009120000,20141009000000:20141010000000,3154.64892578125,0.0:6309.29785156,-0.0154419,0.00915527,3.71622e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.46831438674236,-32.5929026921:-32.3437260814,20141009120000,20141009000000:20141010000000,3154.64892578125,0.0:6309.29785156,-0.068634,0.025177,3.78757e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.219137775974936,-32.3437260814:-32.0945494706,20141009120000,20141009000000:20141010000000,3154.64892578125,0.0:6309.29785156,-0.00543213,0.0783081,3.88593e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.488075728324304,-26.6126640337:-26.3634874229,20141018120000,20141018000000:20141019000000,3154.64892578125,0.0:6309.29785156,-0.0467529,-0.229533,3.86355e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.23889911755689,-26.3634874229:-26.1143108122,20141018120000,20141018000000:20141019000000,3154.64892578125,0.0:6309.29785156,0.0265978,0.2817,3.8256e-4
-74.58224826388889,-74.70703125:-74.4574652778,-25.98972250678947,-26.1143108122:-25.8651342014,20141018120000,20141018000000:20141019000000,3154.64892578125,0.0:6309.29785156,0.00249736,-0.0263283,3.86432e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.006190291441097,-21.1307785968:-20.8816019861,20141011120000,20141011000000:20141012000000,3154.64892578125,0.0:6309.29785156,2.04904e-4,5.75474e-4,3.83557e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.75701368067368,-20.8816019861:-20.6324253753,20141011120000,20141011000000:20141012000000,3154.64892578125,0.0:6309.29785156,-0.0203925,-0.0016298,3.86917e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.258660459138838,-20.3832487645:-20.1340721538,20141011120000,20141011000000:20141012000000,3154.64892578125,0.0:6309.29785156,0.00109863,0.0192261,3.77685e-4
-74.58224826388889,-74.70703125:-74.4574652778,-16.52101129762756,-16.645599603:-16.3964229922,20141029120000,20141029000000:20141030000000,3154.64892578125,0.0:6309.29785156,-0.00625756,-0.0742754,3.92113e-4
-74.58224826388889,-74.70703125:-74.4574652778,-16.271834686860142,-16.3964229922:-16.1472463815,20141029120000,20141029000000:20141030000000,3154.64892578125,0.0:6309.29785156,2.64152e-4,0.0149268,3.92845e-4
-74.58224826388889,-74.70703125:-74.4574652778,-16.022658076092725,-16.1472463815:-15.8980697707,20141029120000,20141029000000:20141030000000,3154.64892578125,0.0:6309.29785156,2.63673e-5,0.0140333,3.95014e-4
-74.58224826388889,-74.70703125:-74.4574652778,-15.773481465325306,-15.8980697707:-15.6488931599,20141029120000,20141029000000:20141030000000,3154.64892578125,0.0:6309.29785156,0.00153698,0.0108165,3.95157e-4
-74.58224826388889,-74.70703125:-74.4574652778,-15.524304854557887,-15.6488931599:-15.3997165492,20141029120000,20141029000000:20141030000000,3154.64892578125,0.0:6309.29785156,0.00927334,0.00160492,3.96804e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.029245189953375,-14.1538334953:-13.9046568846,20141004120000,20141004000000:20141005000000,3154.64892578125,0.0:6309.29785156,0.00523333,0.00654843,3.87193e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.780068579185956,-13.9046568846:-13.6554802738,20141004120000,20141004000000:20141005000000,3154.64892578125,0.0:6309.29785156,0.00859953,-0.00433992,3.8704e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.28171535765112,-13.406303663:-13.1571270523,20141004120000,20141004000000:20141005000000,3154.64892578125,0.0:6309.29785156,0.00381842,0.00463718,3.89724e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.0325387468837,-13.1571270523:-12.9079504415,20141004120000,20141004000000:20141005000000,3154.64892578125,0.0:6309.29785156,0.0176392,-0.0111694,3.81402e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.0325387468837,-13.1571270523:-12.9079504415,20141020120000,20141020000000:20141021000000,3154.64892578125,0.0:6309.29785156,0.00366776,0.0086749,3.93019e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.783362136116281,-12.9079504415:-12.6587738307,20141020120000,20141020000000:20141021000000,3154.64892578125,0.0:6309.29785156,0.0127341,-3.62087e-4,3.89985e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.534185525348862,-12.6587738307:-12.40959722,20141020120000,20141020000000:20141021000000,3154.64892578125,0.0:6309.29785156,0.0246989,0.00422974,3.84561e-4
-74.58224826388889,-74.70703125:-74.4574652778,-5.806417034628559,-5.93100534001:-5.68182872924,20141013120000,20141013000000:20141014000000,3154.64892578125,0.0:6309.29785156,0.0191817,0.0139493,3.95425e-4
-74.58224826388889,-74.70703125:-74.4574652778,-1.5704146515824426,-1.69500295697:-1.4458263462,20141031120000,20141031000000:20141101000000,3154.64892578125,0.0:6309.29785156,0.0180161,0.0137329,3.94861e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-33.71419744057945,-33.838785746:-33.5896091352,20141009120000,20141009000000:20141010000000,3154.64892578125,0.0:6309.29785156,-0.00944935,2.43706,3.8728e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-33.46502082981203,-33.5896091352:-33.3404325244,20141009120000,20141009000000:20141010000000,3154.64892578125,0.0:6309.29785156,0.0806885,0.014917,3.73853e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.983135392928823,-28.1077236983:-27.8585470875,20141002120000,20141002000000:20141003000000,3154.64892578125,0.0:6309.29785156,-0.233765,-0.0288086,3.79382e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.983135392928823,-28.1077236983:-27.8585470875,20141018120000,20141018000000:20141019000000,3154.64892578125,0.0:6309.29785156,-0.0518188,-0.00708008,3.80937e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.7339587821614,-27.8585470875:-27.6093704768,20141018120000,20141018000000:20141019000000,3154.64892578125,0.0:6309.29785156,0.0123291,0.00341797,3.9134e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.235605560626563,-27.360193866:-27.1110172552,20141018120000,20141018000000:20141019000000,3154.64892578125,0.0:6309.29785156,-999999,0.0078125,3.84979e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-26.986428949859146,-27.1110172552:-26.8618406445,20141018120000,20141018000000:20141019000000,3154.64892578125,0.0:6309.29785156,-0.00617981,0.00692749,3.81066e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-21.753720123743356,-21.8783084291:-21.6291318184,20141011120000,20141011000000:20141012000000,3154.64892578125,0.0:6309.29785156,0.0127411,0.020166,3.81169e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-21.504543512975935,-21.6291318184:-21.3799552076,20141011120000,20141011000000:20141012000000,3154.64892578125,0.0:6309.29785156,0.03588,-15.2817,3.81099e-4
