longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-6.055593645395978,-6.18018195078:-5.93100534001,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0174154,0.00933838,3.99167e-4
-74.58224826388889,-74.70703125:-74.4574652778,-5.806417034628559,-5.93100534001:-5.68182872924,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0152588,0.0071818,4.00539e-4
-74.58224826388889,-74.70703125:-74.4574652778,-5.55724042386114,-5.68182872924:-5.43265211848,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0138928,0.00802176,4.01289e-4
-74.58224826388889,-74.70703125:-74.4574652778,-5.308063813093723,-5.43265211848:-5.18347550771,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0201721,0.00967407,4.01565e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-7.301476699233072,-7.42606500462:-7.17688839385,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0200439,0.0113403,4.02342e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-7.052300088465653,-7.17688839385:-6.92771178308,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0162557,0.0108439,4.00624e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-6.803123477698234,-6.92771178308:-6.67853517231,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0160522,0.00787354,4.03275e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-6.553946866930815,-6.67853517231:-6.42935856155,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0170288,0.00958252,4.03979e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-8.298183142302745,-8.42277144769:-8.17359483692,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.017627,0.013147,4.00288e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-8.049006531535328,-8.17359483692:-7.92441822615,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0255127,0.00683594,3.93768e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-9.793242806907259,-9.91783111229:-9.66865450152,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,-0.0101929,-0.0150757,4.01936e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-9.29488958537242,-9.41947789076:-9.17030127999,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0165405,0.0116272,4.01936e-4
-73.83355034722223,-73.9583333333:-73.7087673611,-9.045712974605001,-9.17030127999:-8.92112466922,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.00891113,0.00531006,4.03966e-4
-73.583984375,-73.7087673611:-73.4592013889,-11.03912586074435,-11.1637141661:-10.9145375554,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0220337,0.00878906,4.0033e-4
-73.583984375,-73.7087673611:-73.4592013889,-10.789949249976933,-10.9145375554:-10.6653609446,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0242283,0.00902259,4.01542e-4
-73.583984375,-73.7087673611:-73.4592013889,-10.291596028442095,-10.4161843338:-10.1670077231,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0131287,0.0158325,4.01049e-4
-73.583984375,-73.7087673611:-73.4592013889,-10.042419417674678,-10.1670077231:-9.91783111229,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0177612,7.93457e-4,4.0198e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-12.534185525348862,-12.6587738307:-12.40959722,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.00907389,0.0136108,4.05325e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-12.285008914581445,-12.40959722:-12.1604206092,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0147339,6.83592e-5,4.01492e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-12.035832303814026,-12.1604206092:-11.9112439984,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0177368,0.00572883,3.98485e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-11.786655693046606,-11.9112439984:-11.6620673877,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0174081,0.0105591,3.99128e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-11.537479082279189,-11.6620673877:-11.4128907769,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0208996,0.0162652,3.99825e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-11.28830247151177,-11.4128907769:-11.1637141661,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0166321,0.0117493,3.97563e-4
-73.33441840277777,-73.4592013889:-73.2096354167,-11.03912586074435,-11.1637141661:-10.9145375554,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0134888,0.0170288,4.01254e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-13.530891968418539,-13.6554802738:-13.406303663,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0127246,4.24805e-4,4.03395e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-13.28171535765112,-13.406303663:-13.1571270523,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.00759333,-0.00136774,3.99309e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-13.0325387468837,-13.1571270523:-12.9079504415,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0119781,0.00674184,3.90041e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-12.783362136116281,-12.9079504415:-12.6587738307,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0188005,0.0103997,4.02522e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-12.534185525348862,-12.6587738307:-12.40959722,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.019464,0.0113114,4.01133e-4
-73.08485243055556,-73.2096354167:-72.9600694444,-12.285008914581445,-12.40959722:-12.1604206092,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0159109,0.0150211,4.00077e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-14.029245189953375,-14.1538334953:-13.9046568846,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0157471,0.00558472,3.99543e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-13.780068579185956,-13.9046568846:-13.6554802738,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.00130483,0.0045298,4.07853e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-13.530891968418539,-13.6554802738:-13.406303663,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0100751,-0.0114596,4.01029e-4
-72.83528645833334,-72.9600694444:-72.7105034722,-13.28171535765112,-13.406303663:-13.1571270523,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.00838216,-0.00184123,4.07039e-4
-72.58572048611111,-72.7105034722:-72.4609375,-15.773481465325306,-15.8980697707:-15.6488931599,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.0107015,-8.38216e-4,4.05853e-4
-72.58572048611111,-72.7105034722:-72.4609375,-15.524304854557887,-15.6488931599:-15.3997165492,20170919120000,20170919000000:20170920000000,2555.696533203125,0.0:5111.39306641,0.00118886,0.00122833,4.01499e-4
