longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-32.71749099750977,-32.8420793029:-32.5929026921,20191124120000,20191124000000:20191125000000,3126.41015625,0.0:6252.8203125,-0.0267537,0.146347,4.01205e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.46831438674236,-32.5929026921:-32.3437260814,20191124120000,20191124000000:20191125000000,3126.41015625,0.0:6252.8203125,-0.0230835,-0.00418701,4.05816e-4
-74.58224826388889,-74.70703125:-74.4574652778,-32.219137775974936,-32.3437260814:-32.0945494706,20191124120000,20191124000000:20191125000000,3126.41015625,0.0:6252.8203125,-0.00373392,1.39509e-4,4.03147e-4
-74.58224826388889,-74.70703125:-74.4574652778,-31.969961165207515,-32.0945494706:-31.8453728598,20191124120000,20191124000000:20191125000000,3126.41015625,0.0:6252.8203125,0.0254761,-0.0949771,4.02782e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.724078111370424,-30.8486664168:-30.599489806,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.00187492,0.20928,4.07392e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.474901500603004,-30.599489806:-30.3503131952,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-7.30994e-4,0.124061,4.07233e-4
-74.58224826388889,-74.70703125:-74.4574652778,-30.22572488983559,-30.3503131952:-30.1011365845,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.004906,0.00644346,4.06671e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.97654827906817,-30.1011365845:-29.8519599737,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.00757436,0.070719,4.07077e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.727371668300748,-29.8519599737:-29.6027833629,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.0107012,-0.0069665,4.07098e-4
-74.58224826388889,-74.70703125:-74.4574652778,-29.478195057533334,-29.6027833629:-29.3536067521,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.0481105,0.0072077,4.04629e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.23889911755689,-26.3634874229:-26.1143108122,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,0.00128174,-999999,4.03602e-4
-74.58224826388889,-74.70703125:-74.4574652778,-25.98972250678947,-26.1143108122:-25.8651342014,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,0.00892857,-0.0613578,4.02503e-4
-74.58224826388889,-74.70703125:-74.4574652778,-17.268541129929815,-17.3931294353:-17.1439528245,20191112120000,20191112000000:20191113000000,3126.41015625,0.0:6252.8203125,0.0445557,0.00384521,4.023e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.534185525348862,-12.6587738307:-12.40959722,20191103120000,20191103000000:20191104000000,3126.41015625,0.0:6252.8203125,0.00920274,0.0234239,4.00791e-4
-74.58224826388889,-74.70703125:-74.4574652778,1.1705280668591627,1.04593976148:1.29511637224,20191121120000,20191121000000:20191122000000,3126.41015625,0.0:6252.8203125,0.0181274,0.00930786,4.05559e-4
-74.58224826388889,-74.70703125:-74.4574652778,1.4197046776265836,1.29511637224:1.54429298301,20191121120000,20191121000000:20191122000000,3126.41015625,0.0:6252.8203125,0.0184872,0.0119918,4.05587e-4
-74.58224826388889,-74.70703125:-74.4574652778,1.668881288394001,1.54429298301:1.79346959378,20191121120000,20191121000000:20191122000000,3126.41015625,0.0:6252.8203125,0.0182159,0.0144394,4.06111e-4
-74.58224826388889,-74.70703125:-74.4574652778,1.9180578991614183,1.79346959378:2.04264620455,20191121120000,20191121000000:20191122000000,3126.41015625,0.0:6252.8203125,0.0188346,0.0123842,4.06231e-4
-74.58224826388889,-74.70703125:-74.4574652778,4.659000617603024,4.53441231222:4.78358892299,20191123120000,20191123000000:20191124000000,3126.41015625,0.0:6252.8203125,0.0184152,0.0143563,4.10232e-4
-74.58224826388889,-74.70703125:-74.4574652778,4.908177228370441,4.78358892299:5.03276553375,20191123120000,20191123000000:20191124000000,3126.41015625,0.0:6252.8203125,0.0183411,0.0125732,4.1089e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-32.71749099750977,-32.8420793029:-32.5929026921,20191124120000,20191124000000:20191125000000,3126.41015625,0.0:6252.8203125,0.0120239,0.0114543,4.01936e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-31.969961165207515,-32.0945494706:-31.8453728598,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.0065918,0.242031,4.07352e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-31.7207845544401,-31.8453728598:-31.5961962491,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.0121493,-0.0262002,4.07191e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-31.47160794367268,-31.5961962491:-31.3470196383,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,9.36097e-4,-1.06375e-4,4.06973e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-31.22243133290526,-31.3470196383:-31.0978430275,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.0163438,0.00775545,4.07187e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-30.973254722137845,-31.0978430275:-30.8486664168,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.0107969,0.0842467,4.07258e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-30.724078111370424,-30.8486664168:-30.599489806,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.0127307,-0.018513,4.07236e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-30.474901500603004,-30.599489806:-30.3503131952,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.0475317,-0.0106668,4.05265e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-27.7339587821614,-27.8585470875:-27.6093704768,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,0.0387878,-0.011795,4.03525e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-21.504543512975935,-21.6291318184:-21.3799552076,20191110120000,20191110000000:20191111000000,3126.41015625,0.0:6252.8203125,0.0286255,0.0230103,3.81808e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-17.766894351464657,-17.8914826568:-17.6423060461,20191112120000,20191112000000:20191113000000,3126.41015625,0.0:6252.8203125,0.0277557,0.0012207,4.07876e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-17.517717740697236,-17.6423060461:-17.3931294353,20191112120000,20191112000000:20191113000000,3126.41015625,0.0:6252.8203125,0.0120087,0.0137939,4.02932e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-17.268541129929815,-17.3931294353:-17.1439528245,20191112120000,20191112000000:20191113000000,3126.41015625,0.0:6252.8203125,0.00500488,0.00282677,4.05591e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-14.776775022255631,-14.9013633276:-14.6521867169,20191103120000,20191103000000:20191104000000,3126.41015625,0.0:6252.8203125,0.0136719,-0.19751,3.98533e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-14.029245189953375,-14.1538334953:-13.9046568846,20191103120000,20191103000000:20191104000000,3126.41015625,0.0:6252.8203125,0.0152139,0.0113436,4.03742e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-32.96666760827719,-33.0912559137:-32.8420793029,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.0116791,-0.132717,4.07272e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-32.71749099750977,-32.8420793029:-32.5929026921,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-2.61504e-4,0.0393659,4.07135e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-32.46831438674236,-32.5929026921:-32.3437260814,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.00120056,0.00501134,4.0691e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-32.219137775974936,-32.3437260814:-32.0945494706,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.00120752,0.00137984,4.07112e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-31.969961165207515,-32.0945494706:-31.8453728598,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,-0.00823378,0.0578654,4.07005e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-31.7207845544401,-31.8453728598:-31.5961962491,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.0211883,-0.0458575,4.06307e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-31.47160794367268,-31.5961962491:-31.3470196383,20191126120000,20191126000000:20191127000000,3126.41015625,0.0:6252.8203125,0.0802002,-0.00350952,4.06481e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-28.979841835998492,-29.1044301414:-28.8552535306,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,-0.090332,0.0457241,4.05199e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-28.73066522523108,-28.8552535306:-28.6060769198,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,-0.031623,1.16962,4.04314e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-28.481488614463657,-28.6060769198:-28.3569003091,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,-0.0114746,-0.0474304,4.0318e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-27.983135392928823,-28.1077236983:-27.8585470875,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,0.0241089,-999999,4.05042e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-27.7339587821614,-27.8585470875:-27.6093704768,20191117120000,20191117000000:20191118000000,3126.41015625,0.0:6252.8203125,0.13295,0.00756836,4.0314e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-26.23889911755689,-26.3634874229:-26.1143108122,20191119120000,20191119000000:20191120000000,3126.41015625,0.0:6252.8203125,-0.00549316,-999999,3.94289e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-25.98972250678947,-26.1143108122:-25.8651342014,20191119120000,20191119000000:20191120000000,3126.41015625,0.0:6252.8203125,0.0179138,0.00175781,4.0052e-4
-74.08311631944444,-74.2078993056:-73.9583333333,-19.511130626836582,-19.6357189322:-19.3865423215,20191112120000,20191112000000:20191113000000,3126.41015625,0.0:6252.8203125,0.0144891,-0.0204197,4.01463e-4
