longitude,longitude_bnds,latitude,latitude_bnds,time (YYYYMMDDHHMMSS),time_bnds (YYYYMMDDHHMMSS),altitude (km),alt_bnds (km),fluorescence_offset_relative_771nm_idp,fluorescence_offset_relative_757nm_idp,xco2 (Moles Mole^{-1})
-74.58224826388889,-74.70703125:-74.4574652778,-28.73066522523108,-28.8552535306:-28.6060769198,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,0.00933838,0.00149536,4.08982e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.481488614463657,-28.6060769198:-28.3569003091,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.0226593,-0.00442912,4.08516e-4
-74.58224826388889,-74.70703125:-74.4574652778,-28.232312003696237,-28.3569003091:-28.1077236983,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.0091841,0.0222015,4.08485e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.983135392928823,-28.1077236983:-27.8585470875,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.00479175,-0.0135055,4.08086e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.7339587821614,-27.8585470875:-27.6093704768,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.00347732,0.040271,4.08079e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.48478217139398,-27.6093704768:-27.360193866,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,0.010309,0.192912,4.08008e-4
-74.58224826388889,-74.70703125:-74.4574652778,-27.235605560626563,-27.360193866:-27.1110172552,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.00590492,-0.00411922,4.07381e-4
-74.58224826388889,-74.70703125:-74.4574652778,-26.986428949859146,-27.1110172552:-26.8618406445,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.00204233,0.0075798,4.07783e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.255366902208515,-21.3799552076:-21.1307785968,20190612120000,20190612000000:20190613000000,3270.6025390625,0.0:6541.20507812,0.00104004,-0.0113397,4.07702e-4
-74.58224826388889,-74.70703125:-74.4574652778,-21.006190291441097,-21.1307785968:-20.8816019861,20190612120000,20190612000000:20190613000000,3270.6025390625,0.0:6541.20507812,0.00754395,-0.00303955,4.073e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.75701368067368,-20.8816019861:-20.6324253753,20190612120000,20190612000000:20190613000000,3270.6025390625,0.0:6541.20507812,0.0269696,0.0107056,4.06688e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.50783706990626,-20.6324253753:-20.3832487645,20190612120000,20190612000000:20190613000000,3270.6025390625,0.0:6541.20507812,0.0224202,-0.0927429,4.06235e-4
-74.58224826388889,-74.70703125:-74.4574652778,-20.009483848371424,-20.1340721538:-19.884895543,20190612120000,20190612000000:20190613000000,3270.6025390625,0.0:6541.20507812,-0.00578962,0.03302,4.07155e-4
-74.58224826388889,-74.70703125:-74.4574652778,-19.760307237604003,-19.884895543:-19.6357189322,20190612120000,20190612000000:20190613000000,3270.6025390625,0.0:6541.20507812,0.020813,-0.0118408,4.07254e-4
-74.58224826388889,-74.70703125:-74.4574652778,-14.029245189953375,-14.1538334953:-13.9046568846,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,-3.72315e-4,5.07519,4.05214e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.780068579185956,-13.9046568846:-13.6554802738,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,0.00979505,0.00439562,4.02314e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.530891968418539,-13.6554802738:-13.406303663,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,0.00247034,-0.017785,4.02956e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.28171535765112,-13.406303663:-13.1571270523,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,0.00416574,0.00314266,4.03617e-4
-74.58224826388889,-74.70703125:-74.4574652778,-13.0325387468837,-13.1571270523:-12.9079504415,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,0.0123193,-0.00937825,3.99651e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.783362136116281,-12.9079504415:-12.6587738307,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,0.00792553,0.111968,4.02597e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.534185525348862,-12.6587738307:-12.40959722,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,0.0169373,-0.713715,3.99519e-4
-74.58224826388889,-74.70703125:-74.4574652778,-12.285008914581445,-12.40959722:-12.1604206092,20190605120000,20190605000000:20190606000000,3270.6025390625,0.0:6541.20507812,0.00919596,0.00897217,4.01188e-4
-74.58224826388889,-74.70703125:-74.4574652778,-6.803123477698234,-6.92771178308:-6.67853517231,20190621120000,20190621000000:20190622000000,3270.6025390625,0.0:6541.20507812,0.0181669,0.00590964,4.11089e-4
-74.58224826388889,-74.70703125:-74.4574652778,-6.553946866930815,-6.67853517231:-6.42935856155,20190621120000,20190621000000:20190622000000,3270.6025390625,0.0:6541.20507812,0.0138855,0.0102539,4.12686e-4
-74.58224826388889,-74.70703125:-74.4574652778,-6.304770256163396,-6.42935856155:-6.18018195078,20190621120000,20190621000000:20190622000000,3270.6025390625,0.0:6541.20507812,0.0184613,0.0114728,4.10729e-4
-74.58224826388889,-74.70703125:-74.4574652778,-6.055593645395978,-6.18018195078:-5.93100534001,20190621120000,20190621000000:20190622000000,3270.6025390625,0.0:6541.20507812,0.0180274,0.0177781,4.10831e-4
-74.58224826388889,-74.70703125:-74.4574652778,-5.806417034628559,-5.93100534001:-5.68182872924,20190630120000,20190630000000:20190701000000,3270.6025390625,0.0:6541.20507812,0.0169525,0.0603027,4.06579e-4
-74.58224826388889,-74.70703125:-74.4574652778,-5.55724042386114,-5.68182872924:-5.43265211848,20190630120000,20190630000000:20190701000000,3270.6025390625,0.0:6541.20507812,0.0100301,0.00567627,4.07652e-4
-74.58224826388889,-74.70703125:-74.4574652778,-5.308063813093723,-5.43265211848:-5.18347550771,20190630120000,20190630000000:20190701000000,3270.6025390625,0.0:6541.20507812,0.00654297,0.00389404,4.09387e-4
-74.58224826388889,-74.70703125:-74.4574652778,0.422998234556907,0.298409929173:0.547586539941,20190614120000,20190614000000:20190615000000,3270.6025390625,0.0:6541.20507812,0.0196228,0.0116882,4.07516e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-29.727371668300748,-29.8519599737:-29.6027833629,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.0180884,0.0306772,4.09031e-4
-74.33268229166666,-74.4574652778:-74.2078993056,-29.478195057533334,-29.6027833629:-29.3536067521,20190619120000,20190619000000:20190620000000,3270.6025390625,0.0:6541.20507812,-0.00428009,0.00921413,4.08884e-4
